French,English
wewe,you
Yo,i
ya,the
kwa,to
kwa,a
ndio,s
Kipengee,it
na,and
hiyo,that
t,t
ya,of
es,is
katika,in
que,what
sisi,we
I,me
Este,this
ninayo,he
kwa,for
yangu,my
juu,on
kuwa na,have
yako,your
fanya,do
ilikuwa,was
m,m
Hapana,no
sivyo,not
kuwa,be
ni,are
Don,don
re,re
kujua,know
mbwa,can
na,with
lakini,but
hapo,all
SW,so
tu,just
hapo,there
hapa,here
wao,they
kama,like
ll,ll
pata,get
yeye,she
kwenda,go
kama,if
haki,right
nje,out
kuhusu,about
juu,up
katika,at
yeye,him
sasa,now
oh,oh
moja,one
kula,come
vizuri,well
yake,her
vipi,how
ndio,yeah
kwenda,ve
mapenzi,will
nimepata,got
kutaka,want
fikiri,think
ace,as
ona,see
alifanya,did
nzuri,good
malikia,who
kwa nini,why
desde,from
basi,let
yake,his
uma,yes
lini,when
kwenda,going
wakati,time
na,an
sawa,okay
nyuma,back
tazama,look
sisi,us
ingekuwa,would
yao,them
wapi,where
walikuwa,were
kuchukua,take
basi,then
alikuwa na,had
au,or
imekuwa,been
wetu,our
nita,gonna
sema,tell
kweli,really
mtu,man
baadhi,some
sema,say
hujambo,hey
inaweza,could
d,d
hakufanya hivyo,didn
kwa,by
haja,need
kitu,something
unayo,has
pia,too
zaidi,more
njia,way
chini,down
fanya,make
kuangalia na,very
kamwe,never
pekee,only
watu,people
juu,over
kwa sababu,because
kidogo,little
tafadhali,please
inaiona,love
lazima,should
maana,mean
sema,said
samahani,sorry
kutoa,give
imezimwa,off
A.M,am
Asante,thank
yoyote,any
mbili,two
hata,even
sana,much
kufanya,doing
hakika,sure
jambo,thing
estos,these
msaada,help
kwanza,first
ndani,into
cualquier cosa,anything
bado,still
tafuta,find
maisha,life
hakuna kitu,nothing
bwana,sir
siku,day
mungu,god
kazi,work
zao,their
uh,uh
tena,again
labda,maybe
lazima,must
kabla,before
nyingine,other
subiri,wait
acha,stop
wito,call
despues de,after
alishinda,won
kuzungumza,talk
mbali,away
kuliko,than
mawazo,thought
nyumbani,home
usiku,night
weka,put
kubwa,great
